primary_booth,投稿数,いいね総数,いいね平均,いいね中央値,リプライ総数,リプライ平均,再投稿総数,再投稿平均,リーチ総数,リーチ平均,リーチ中央値,キャンペーン割合,体験型割合,ステージ割合,フォトスポット割合,グッズ割合,エンゲージメント率,投稿数スコア,エンゲージメント率スコア,総合スコア
indiegame,13,53.0,7.57,7.0,0.0,,13.0,6.5,2992,230.15,191.0,0.0,0.0,0.07692307692307693,0.0,0.0,5.076923076923077,0.0038314176245210726,0.003334778965629039,0.0037320898927426663
twitch,12,132.0,16.5,5.5,5.0,1.67,10.0,3.33,5114,426.17,223.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,12.25,0.002554278416347382,0.008046417428430675,0.0036527062187640407
桃太郎電鉄2,11,160.0,20.0,2.0,10.0,5.0,10.0,10.0,16938,1539.82,451.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.0,16.363636363636363,0.001277139208173691,0.010748461128886987,0.00317140359231635
デジモン,13,5.0,1.67,1.0,1.0,1.0,0.0,,4770,366.92,91.0,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.0038314176245210726,0.0003031617241480945,0.0031257664444464773
apexlegends,12,39.0,3.55,1.0,9.0,1.0,3.0,3.0,8982,748.5,623.5,0.0,0.0,0.0,0.16666666666666666,0.0,4.25,0.002554278416347382,0.0027916142098637032,0.0026017455750506463
スト6,12,32.0,6.4,7.0,3.0,1.0,2.0,2.0,10269,855.75,797.0,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,3.0833333333333335,0.002554278416347382,0.0020252887404893535,0.0024484804811757766
神託のメソロギア,10,149.0,21.29,10.0,6.0,3.0,16.0,5.33,5845,584.5,161.0,0.0,0.2,0.0,0.3,0.0,17.1,0.0,0.011232141879686902,0.0022464283759373806
クリエイターサポートプログラム,11,69.0,6.9,3.5,5.0,1.25,1.0,1.0,11271,1024.64,1321.0,0.0,0.36363636363636365,0.0,0.18181818181818182,0.0,6.818181818181818,0.001277139208173691,0.004478525470369578,0.0019174164606128685
逆水寒,11,63.0,12.6,4.0,4.0,1.33,2.0,1.0,24222,2202.0,1529.0,0.0,0.18181818181818182,0.0,0.7272727272727273,0.18181818181818182,6.2727272727272725,0.001277139208173691,0.004120243432740011,0.001845760053086955
2bro,11,55.0,9.17,2.0,8.0,1.6,0.0,,6107,555.18,186.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,5.7272727272727275,0.001277139208173691,0.0037619613951104455,0.001774103645561042
pixio,11,14.0,1.56,1.0,2.0,1.0,0.0,,24204,2200.36,407.0,0.0,0.0,0.0,0.18181818181818182,0.0,1.4545454545454546,0.001277139208173691,0.0009554187670121766,0.0012127951199413882
tgs2026,11,8.0,2.0,2.0,0.0,,0.0,,5848,531.64,419.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.001277139208173691,0.0004777093835060883,0.0011172532432401705
きゅんtube,10,49.0,24.5,24.5,8.0,8.0,2.0,2.0,4030,403.0,189.5,0.0,0.2,0.1,0.0,0.1,5.9,0.0,0.0038754173736931415,0.0007750834747386284
dq1and2,10,38.0,4.75,4.0,2.0,1.0,2.0,1.0,4867,486.7,438.0,0.0,0.3,0.0,0.1,0.1,4.2,0.0,0.0027587716897476597,0.000551754337949532
スタンミtgs,10,36.0,7.2,7.0,0.0,,4.0,2.0,1901,190.1,34.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0026274016092834858,0.0005254803218566972
residentevilrequiem,10,2.0,2.0,2.0,4.0,2.0,0.0,,3347,334.7,158.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0003941102413925228,7.882204827850457e-05
トリッカル・もちもちほっぺ大作戦,10,0.0,,,0.0,,0.0,,4276,427.6,214.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
